Case ID;Activity;time:timestamp;end_timestamp;SLA MIN;case_end_time;case_start_time;duration;label;WIP
Case31;A48;2017-07-05 13:52:00+00:00;2017-07-05 13:52:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A17;2017-07-05 13:54:00+00:00;2017-07-05 13:54:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A18;2017-07-05 13:58:00+00:00;2017-07-05 14:17:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A22;2017-07-05 14:01:00+00:00;2017-07-05 14:01:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A41;2017-07-05 14:12:00+00:00;2017-07-05 14:12:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A42;2017-07-05 14:13:00+00:00;2017-07-05 14:13:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A43;2017-07-05 14:13:00+00:00;2017-07-05 14:13:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A19;2017-07-05 14:24:00+00:00;2017-07-05 14:24:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A13;2017-07-05 14:35:00+00:00;2017-07-05 14:52:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A27;2017-07-05 14:38:00+00:00;2017-07-05 14:48:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A29;2017-07-05 14:39:00+00:00;2017-07-05 14:42:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A31;2017-07-05 14:39:00+00:00;2017-07-05 14:39:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A30;2017-07-05 14:45:00+00:00;2017-07-05 14:55:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A49;2017-07-05 14:47:00+00:00;2017-07-05 14:47:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A45;2017-07-05 14:52:00+00:00;2017-07-05 14:52:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A5;2017-07-05 14:53:00+00:00;2017-07-05 14:53:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A36;2017-07-05 14:53:00+00:00;2017-07-05 14:53:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A34;2017-07-05 14:53:00+00:00;2017-07-05 14:53:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A32;2017-07-05 14:56:00+00:00;2017-07-05 14:56:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case31;A2;2017-07-05 14:56:00+00:00;2017-07-05 14:56:00+00:00;;2017-07-05 14:56:00+00:00;2017-07-05 13:07:00+00:00;109.0;0;1
Case29;A50;2017-07-11 10:18:00+00:00;2017-07-11 10:18:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A0;2017-07-11 10:25:00+00:00;2017-07-11 10:26:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A1;2017-07-11 10:30:00+00:00;2017-07-11 10:30:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A4;2017-07-11 10:30:00+00:00;2017-07-11 10:30:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A6;2017-07-11 10:30:00+00:00;2017-07-11 10:30:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A3;2017-07-11 10:31:00+00:00;2017-07-11 10:32:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A12;2017-07-11 10:31:00+00:00;2017-07-11 10:38:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A26;2017-07-11 10:32:00+00:00;2017-07-11 10:37:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A10;2017-07-11 10:32:00+00:00;2017-07-11 10:40:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A17;2017-07-11 10:34:00+00:00;2017-07-11 10:34:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A18;2017-07-11 10:38:00+00:00;2017-07-11 10:45:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A37;2017-07-11 10:38:00+00:00;2017-07-11 10:43:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A8;2017-07-11 10:40:00+00:00;2017-07-11 10:40:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A29;2017-07-11 10:40:00+00:00;2017-07-11 10:43:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A7;2017-07-11 10:40:00+00:00;2017-07-11 10:40:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A20;2017-07-11 10:41:00+00:00;2017-07-11 10:41:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A21;2017-07-11 10:42:00+00:00;2017-07-11 10:45:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A38;2017-07-11 10:45:00+00:00;2017-07-11 10:45:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A22;2017-07-11 10:46:00+00:00;2017-07-11 10:46:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A11;2017-07-11 10:47:00+00:00;2017-07-11 11:02:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;2
Case29;A19;2017-07-11 10:49:00+00:00;2017-07-11 10:49:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A27;2017-07-11 10:51:00+00:00;2017-07-11 11:00:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A31;2017-07-11 10:55:00+00:00;2017-07-11 10:55:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;1
Case29;A30;2017-07-11 10:56:00+00:00;2017-07-11 11:04:00+00:00;;2017-07-11 11:05:00+00:00;2017-07-11 10:18:00+00:00;47.0;0;2
